popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3,200480,0,0.783,0.84,1,-3.416,1,0.051,0.174,0,0.412,0.838,95.002,4,hip-hop
63,216774,0,0.861,0.886,10,-5.413,0,0.122,0.182,1.29E-06,0.0559,0.898,124.031,4,hip-hop
0,248768,0,0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4,hip-hop
0,248768,0,0.685,0.909,3,-4.034,0,0.0396,0.0471,0,0.35,0.922,95.004,4,hip-hop
4,234560,0,0.813,0.786,6,-4.133,0,0.154,0.107,0,0.238,0.828,175.908,4,hip-hop
0,224800,0,0.805,0.878,7,-3.826,1,0.0864,0.0754,0.00329,0.0656,0.922,124.994,4,hip-hop
2,224800,0,0.805,0.878,7,-3.826,1,0.0864,0.0754,0.00329,0.0656,0.922,124.994,4,hip-hop
0,241880,0,0.691,0.894,9,-1.681,0,0.115,0.291,0,0.104,0.623,184.018,4,hip-hop
0,218520,0,0.73,0.939,11,-4.665,0,0.0532,0.0347,0,0.335,0.939,121.001,4,hip-hop
0,197053,0,0.639,0.943,5,-3.542,1,0.136,0.0462,0,0.141,0.639,198.051,4,hip-hop
63,215456,0,0.593,0.776,0,-4.343,0,0.0325,0.216,2.94E-05,0.329,0.634,81.992,4,hip-hop
0,234320,0,0.899,0.626,6,-4.228,0,0.292,0.076,0,0.0631,0.873,88.007,4,hip-hop
4,236493,0,0.799,0.818,6,-4.628,1,0.0801,0.113,0.00315,0.0942,0.951,175.998,4,hip-hop
0,223360,0,0.762,0.79,9,-3.944,0,0.0988,0.109,2.73E-06,0.172,0.748,129.988,4,hip-hop
0,242160,0,0.772,0.803,1,-3.035,1,0.0468,0.187,0,0.434,0.853,94.98,4,hip-hop
0,209786,0,0.736,0.878,1,-3.604,0,0.0428,0.0682,6.40E-05,0.756,0.662,100.024,4,hip-hop
0,209786,0,0.736,0.878,1,-3.604,0,0.0428,0.0682,6.40E-05,0.756,0.662,100.024,4,hip-hop
84,198973,1,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29E-05,0.552,0.357,77.169,4,hip-hop
77,113000,0,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23E-06,0.101,0.507,135.998,4,hip-hop
62,211394,0,0.804,0.902,11,-3.067,0,0.0846,0.265,0.000402,0.065,0.72,155.98,4,hip-hop
82,126345,1,0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,4,hip-hop
79,137875,1,0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,4,hip-hop
61,398750,1,0.833,0.8,11,-4.56,0,0.298,0.262,0,0.435,0.685,124.982,4,hip-hop
66,175187,0,0.811,0.844,8,-4.395,1,0.0898,0.31,0,0.731,0.889,93.48,4,hip-hop
65,215202,0,0.584,0.698,4,-6.61,0,0.0376,0.447,0,0.0699,0.436,79.993,4,hip-hop
57,279120,1,0.731,0.73,2,-6.302,1,0.123,0.411,0,0.052,0.503,79.999,4,hip-hop
90,210575,1,0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,4,hip-hop
57,163200,0,0.918,0.673,0,-5.084,1,0.184,0.314,0,0.0555,0.828,99.952,4,hip-hop
81,174646,0,0.905,0.962,4,-3.197,1,0.0856,0.0299,0,0.0272,0.906,129.969,4,hip-hop
62,205423,1,0.888,0.782,9,-6.195,0,0.21,0.23,0,0.315,0.82,118.017,4,hip-hop
65,148858,1,0.783,0.607,9,-7.268,0,0.133,0.091,0,0.0986,0.862,92.109,4,hip-hop
64,204507,0,0.706,0.693,0,-5.502,1,0.259,0.0123,0,0.346,0.838,141.794,4,hip-hop
62,215409,1,0.74,0.648,10,-5.171,0,0.0374,0.659,0,0.11,0.4,122.03,4,hip-hop
55,197351,0,0.859,0.599,10,-9.738,1,0.145,0.511,0,0.11,0.183,98.008,4,hip-hop
62,217520,0,0.699,0.633,9,-6.733,0,0.139,0.397,0,0.0864,0.534,159.955,4,hip-hop
65,280369,0,0.79,0.892,10,-4.038,0,0.0404,0.228,1.18E-06,0.206,0.896,131.991,4,hip-hop
81,212352,1,0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,4,hip-hop
63,151128,0,0.781,0.768,4,-5.525,0,0.183,0.744,5.92E-06,0.11,0.816,143.156,4,hip-hop
63,204360,0,0.716,0.934,3,-2.431,1,0.0448,0.0561,7.33E-06,0.147,0.749,99.983,4,hip-hop
63,197102,0,0.664,0.834,10,-3.761,0,0.0846,0.0326,0,0.273,0.47,86.025,4,hip-hop
55,276096,0,0.82,0.491,11,-8.562,1,0.28,0.237,0,0.102,0.547,120.059,4,hip-hop
64,174508,0,0.72,0.711,1,-6.926,0,0.0457,0.309,0,0.492,0.713,148.223,4,hip-hop
62,215999,0,0.621,0.515,5,-9.019,1,0.0453,0.616,0.000137,0.11,0.657,109.891,4,hip-hop
63,140463,0,0.766,0.618,11,-8.552,0,0.124,0.0187,0.000115,0.181,0.513,95.054,4,hip-hop
